Paper_Code,NotebookLM,o3-mini,MARS,Ground_Truth,MARS_Score
xYWqSjBcGMl,Weak Accept,Accept,Accept,Accept:poster,64
__GGLJ79pV,Accept,Accept,Reject,Reject,31.29
oJZ8bPtCar,Accept (with reservations),Accept,Accept,Accept:poster,73
6doXHqwMayf,Accept,Accept,Accept,Accept:poster,79.25
4cOfD2qL6T,Weak Accept,Accept,Accept,Accept:poster,51.94
__czv_gqDQt,Weak Accept,Accept,Reject,Reject,43.06
-ltZ1uw8ZE7,Borderline,Accept,Reject,Reject,31.91
09hVcSDkea,Accept,Accept,Accept,Accept: notable top 25%,57.99
-59_mb1lOf4,Reject,Accept,Reject,Reject,39.20
_5sMa2sdU4,Reject,Accept,Reject,Reject,26.86
deit1AdsFU,Accept,Accept,Accept,Reject,71.94
bxtzk6Wfrpo,Accept,Accept,Accept,Reject,80.85
iP77_axu0h3,Accept,Accept,Accept,Accept: poster,75.00
sXfWoK4KvSW,,,Accept,Accept: poster,73.80
